Independent Variables,Dependent Variable,RMSE,R2,Adj R2,Cross Validation RMSE
['Year'],Sale (Dollars) Per Capita,9.26557402092658,0.004658006804832304,-0.00046507698367226347,8.91417076843084
['Year'],Sale (Dollars) Per Capita - Sqrt,1.0534162349249259,0.008272066020235891,0.0031675840071047068,1.0788262315785102
['Year'],Sale (Dollars) Per Capita - Log,0.617239036050906,0.009766216342960488,0.004669424809431555,0.6310611516647431
['Quarter'],Sale (Dollars) Per Capita,8.691405491970372,0.03314661148170517,0.030309184075928752,8.827473219670553
['Quarter'],Sale (Dollars) Per Capita - Sqrt,1.0747957260159164,0.02986032893901247,0.027013257270454893,1.068911891570787
['Quarter'],Sale (Dollars) Per Capita - Log,0.6239588777495,0.02307215774038196,0.020205164806384568,0.626592980971368
['Bottle Volume (ml)'],Sale (Dollars) Per Capita,7.4189008592658245,0.2771405319640282,0.27608139721232716,7.777867542058114
['Bottle Volume (ml)'],Sale (Dollars) Per Capita - Sqrt,0.9198574589197525,0.23231617012602068,0.2311913586536779,0.9567686450051116
['Bottle Volume (ml)'],Sale (Dollars) Per Capita - Log,0.5685786940022391,0.1673430815559942,0.1661230714190799,0.5796349891624961
['State Bottle Cost'],Sale (Dollars) Per Capita,7.924690929450852,0.2288244129108492,0.22769448531071868,7.80995597785323
['State Bottle Cost'],Sale (Dollars) Per Capita - Sqrt,0.965615147027228,0.2038632978143311,0.202696797151788,0.9613599673633049
['State Bottle Cost'],Sale (Dollars) Per Capita - Log,0.5778144434943233,0.1382033340727119,0.13694062833508946,0.5836571938690955
['State Bottle Retail'],Sale (Dollars) Per Capita,7.836090408475511,0.24247719048739524,0.24136726695697375,7.833418464722733
['State Bottle Retail'],Sale (Dollars) Per Capita - Sqrt,0.987443256631363,0.21770612010573942,0.21655990196670027,0.9619257332702877
['State Bottle Retail'],Sale (Dollars) Per Capita - Log,0.5566422660951816,0.15113701241867983,0.14989325712552037,0.5828451088120177
['Bottles Sold'],Sale (Dollars) Per Capita,8.369757820133488,0.19948893443077775,0.19831602444459573,7.900339994979177
